Dist,providerListingId,detailUrl,address,addressStreet,addressCity,addressState,addressZipcode,latLong,buildingName,isBuilding,availabilityCount,isInstantTourEnabled,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,availabilityDate,latitude,longitude,crime_cnt_2b,safety_pr,nearest_supermarket,nearest_supermarket_distance_meters,supermarket_duration_seconds,supermarket_commute_fare,supermarket_location,nearest_park,nearest_park_distance_meters,nearest_park_seconds,park_commute_fare,park_location,office_trans_dist_car,office_trans_duration_car,office_trans_cost_car,office_trans_dist_transit,office_trans_duration_transit,office_trans_cost_transit,school_trans_dist_car,school_trans_duration_car,school_trans_cost_car,school_trans_dist_transit,school_trans_duration_transit,school_trans_cost_transit
Queen,vn1yy57vy2sn,/apartments/seattle-wa/kirin/ChpR7V/,"417 2nd Ave W, Seattle, WA",417 2nd Ave W  # 206IQ,Seattle,WA,98119,"{'latitude': 47.62262, 'longitude': -122.35971}",Kirin,True,2.0,True,,2395,,,2.0,,,,47.62262,-122.35971,5,50.918727915194346,Whole Foods Market,630,546,,,,,,,,2223,566,,2621,1256,,7403,1032,,10811,2029,
Queen,52e98sqpg08su,/apartments/seattle-wa/the-bernard/5Xk5jY/,"115 Warren Ave N, Seattle, WA",115 Warren Ave  N  Apt 310,Seattle,WA,98109,"{'latitude': 47.619186, 'longitude': -122.354355}",The Bernard,True,2.0,True,,1950,,,1.0,,,,47.619186,-122.354355,11,7.738515901060069,Pike Grocery,1374,1311,,,,,,,,2278,527,,1854,965,,7457,993,,9762,1838,
Queen,11jx45s6pmtnd,/apartments/seattle-wa/henry/B6j6Fm/,"24 Etruria St, Seattle, WA",24 Etruria St   Apt 201,Seattle,WA,98109,"{'latitude': 47.647972, 'longitude': -122.35643}",Henry,True,3.0,False,,1958,,,1.0,,,,47.647972,-122.35643,6,39.46996466431095,Whole Foods Market,626,528,,,,,,,,3658,561,,3620,1304,,4571,764,,5573,1610,
Queen,s9z97rb3e6a9,/apartments/seattle-wa/ellie-passivhaus/9VWkTK/,"320 Queen Anne Ave N, Seattle, WA",320 Queen Anne Ave  N  # 401,Seattle,WA,98109,"{'latitude': 47.62162, 'longitude': -122.35649}",Ellie Passivhaus,True,2.0,False,,2425,,,1.0,,,,47.62162,-122.35649,12,5.229681978798581,Whole Foods Market,162,148,,,,,,,,2420,551,,2381,1010,,7599,1017,,10393,2087,
Queen,4280j49vay9c2,/apartments/seattle-wa/lavie-at-queen-anne/5XjLM3/,"229 Queen Anne Ave N, Seattle, WA",229 Queen Anne Ave  N  Apt 506,Seattle,WA,98109,"{'latitude': 47.62069, 'longitude': -122.35712}",LaVie at Queen Anne,True,2.0,False,,2100,,,1.0,,,,47.62069,-122.35712,7,29.89399293286219,Whole Foods Market,689,606,,,,,,,,2366,548,,2214,992,,7545,1014,,10226,2073,
Queen,rs4ucdrx6pkq,/apartments/seattle-wa/the-hudson/5XrPQG/,"2450 Aurora Ave N, Seattle, WA",2450 Aurora Ave N  # 110,Seattle,WA,98109,"{'latitude': 47.64101, 'longitude': -122.345604}",The Hudson,True,16.0,False,,1795,,,1.0,,,,47.64101,-122.345604,4,62.3321554770318,Whole Foods Market,1015,439,,,,,,,,2481,446,,2540,899,,4723,599,,5674,2145,
Queen,3apyrxztcf70m,/apartments/seattle-wa/seven-hills/5XkHnq/,"1919 Queen Anne Ave N, Seattle, WA",1919 Queen Anne Ave N  # 1219,Seattle,WA,98109,"{'latitude': 47.63664, 'longitude': -122.35726}",Seven Hills,True,6.0,False,,1942,,,1.0,,,,47.63664,-122.35726,6,39.46996466431095,Whole Foods Market,1105,509,,,,,,,,3031,624,,3783,1689,,6050,806,,7833,2614,
Queen,4xqnk29jmm1a3,/apartments/seattle-wa/dravus-apartments/5YCNLj/,"15 Dravus St, Seattle, WA",15 Dravus St # 1B-1Ba-350Sqft,Seattle,WA,98109,"{'latitude': 47.648403, 'longitude': -122.35703}",Dravus Apartments,True,3.0,False,,1495,,,1.0,,,,47.648403,-122.35703,4,62.3321554770318,Whole Foods Market,529,466,,,,,,,,3887,580,,3693,1376,,4800,783,,5570,1613,
Queen,tz5un4qdzhf8,/apartments/seattle-wa/twin-birches/ChHNNQ/,"800 2nd Ave N, Seattle, WA",800 2nd Ave  N  # 32,Seattle,WA,98109,"{'latitude': 47.626556, 'longitude': -122.35238}",Twin Birches,True,2.0,False,,1350,,,1.0,,,,47.626556,-122.35238,4,62.3321554770318,Whole Foods Market,746,637,,,,,,,,1633,406,,1595,1335,,6812,872,,12054,2840,
Queen,2mbqtdm9zhus5,/apartments/seattle-wa/cinebar-apartments/5ZcXpV/,"3250 15th Ave W, Seattle, WA",3250 15th Ave W  # A,Seattle,WA,98119,"{'latitude': 47.650116, 'longitude': -122.37581}",Cinebar Apartments,True,2.0,False,,1445,,,1.0,,,,47.650116,-122.37581,8,23.356890459363957,Whole Foods Market,790,661,,,,,,,,5945,788,,7522,2134,,6857,991,,8053,2071,
Queen,y7wnhx6j3ba3,/apartments/seattle-wa/eden-hill/5Xt8GW/,"11 W Crockett St, Seattle, WA",11 W  Crockett St   Apt 203,Seattle,WA,98119,"{'latitude': 47.637016, 'longitude': -122.35752}",Eden Hill,True,2.0,False,,2791,,,1.0,,,,47.637016,-122.35752,6,39.46996466431095,Whole Foods Market,1275,617,,,,,,,,3437,652,,3794,1702,,6061,834,,7844,2627,
Queen,19v9zqcbr3jb2,https://www.zillow.com/homedetails/316-W-Olympic-Pl-APT-4-Seattle-WA-98119/2099093943_zpid/,"316 W Olympic Pl APT 4, Seattle, WA 98119",316 W Olympic Pl APT 4,Seattle,WA,98119,"{'latitude': 47.626957, 'longitude': -122.36137}",,,,,$,1500,1500.0,False,1.0,1.0,,,47.626957,-122.36137,3,74.59363957597174,Safeway,849,764,,,,,,,,2265,524,,3199,1545,,7445,990,,11518,2617,
Queen,85be8kwdphka,https://www.zillow.com/homedetails/2221-Gilman-Dr-W-APT-103-Seattle-WA-98119/49015147_zpid/,"2221 Gilman Dr W APT 103, Seattle, WA 98119",2221 Gilman Dr W APT 103,Seattle,WA,98119,"{'latitude': 47.638943, 'longitude': -122.37359}",,,,,$,2550,2550.0,False,2.0,1.0,1082.0,2025-01-01 00:00:00,47.638943,-122.37359,2,86.57243816254417,Safeway,270,229,,,,,,,,4163,715,,6704,2059,,7512,955,,9120,2302,
