,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
1100885,2024,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337653877,47.61438941
1100889,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,20XX BLOCK OF FAIRVIEW AVE,-122.334252982,47.6181844
1100921,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,1XX BLOCK OF 4TH AVE N,-122.348892,47.61916
1100925,2024,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1100939,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
1100944,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.333646875,47.62311893
1100952,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,10XX BLOCK OF VALLEY ST,-122.336662,47.625788
1100962,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,20XX BLOCK OF TERRY AVE,-122.335527117,47.6174338
1100982,2024,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,SLU/CASCADE,4XX BLOCK OF BOREN AVE N,-122.335842718,47.62261533
1100995,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,3XX BLOCK OF MINOR AVE N,-122.3329898,47.62139356
1101003,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,23XX BLOCK OF 5TH AVE,-122.3437289,47.61641492
1101068,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,4XX BLOCK OF 9TH AVE N,-122.339755754,47.62263009
1101083,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,19XX BLOCK OF 3RD AVE,-122.340242177,47.61201358
1101114,2024,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,10XX BLOCK OF STEWART ST,-122.333147647,47.61661283
1101124,2024,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
1101128,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1101193,2024,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,1XX BLOCK OF FAIRVIEW AVE N,-122.3342579,47.61909104
1101199,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.345841,47.61856414
1101200,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,9XX BLOCK OF STEWART ST,-122.334006702,47.6159486
1101201,2024,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.337464788,47.61682219
1101367,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.33746479,47.6168222
1101371,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
1101374,2024,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,8XX BLOCK OF TERRY AVE N,-122.33711996,47.62598646
1101377,2024,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,SLU/CASCADE,4XX BLOCK OF LENORA ST,-122.3409034,47.61416338
1101479,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,17XX BLOCK OF 7TH AVE,-122.334717535,47.61309798
1101485,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,THOMAS ST / WESTLAKE AVE N,-122.338465375,47.62087408
1101556,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337653877,47.61438941
1101566,2024,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
1101593,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.33294187,47.6158847
1101635,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF AURORA AVE N,-122.343661243,47.6249594
1101643,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 5TH AVE N,-122.347606025,47.62032368
1101644,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,9XX BLOCK OF FAIRVIEW AVE N,-122.3324647,47.62748318
1101646,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.333646875,47.62311893
1101669,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
1101745,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,FAIRVIEW AVE / DENNY WAY,-122.33425488,47.61851729
1101747,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,4TH AVE / BELL ST,-122.343934412,47.61536892
1101772,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,19XX BLOCK OF BOREN AVE,-122.333368022,47.61732929
1101788,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
1101795,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,WESTLAKE AVE N / JOHN ST,-122.338475405,47.61970547
1101796,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1101810,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1101811,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,20XX BLOCK OF BOREN AVE,-122.334785872,47.61818657
1101837,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1101853,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337653877,47.61438941
1101876,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,22XX BLOCK OF 6TH AVE,-122.34156472,47.61631394
1101899,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF FAIRVIEW AVE N,-122.334276727,47.62258111
1101907,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 3RD AVE,-122.3428432,47.61355147
1101928,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,9XX BLOCK OF FAIRVIEW AVE N,-122.3324647,47.62748318
1101967,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,8XX BLOCK OF FAIRVIEW PL N,-122.334162604,47.62638525
1101969,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1101976,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1101983,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,9XX BLOCK OF FAIRVIEW AVE N,-122.3324647,47.62748318
1101985,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
1101997,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,19XX BLOCK OF 4TH AVE,-122.339382657,47.61267824
1102009,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF BATTERY ST,-122.343954336,47.61715008
1102013,2024,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF WESTLAKE AVE N,-122.338460531,47.62145765
1102017,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.345841,47.61856414
1102025,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
1102030,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,20XX BLOCK OF BOREN AVE,-122.334785872,47.61818657
1102083,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,DENNY WAY / MINOR AVE,-122.333387671,47.61851451
1102121,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1102125,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1102144,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,7XX BLOCK OF THOMAS ST,-122.341729094,47.62088616
1102158,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
