,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
983870,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,1XX BLOCK OF TAYLOR AVE N,-122.346311222,47.61915025
983895,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,2XX BLOCK OF DEXTER AVE N,-122.342386714,47.620304
983897,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,3RD AVE / BELL ST,-122.344793514,47.61470458
983909,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF TERRY AVE N,-122.337156287,47.62145271
983922,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.345741181,47.6170232
983965,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,HARRISON ST / 5TH AVE N,-122.347591845,47.62207493
983966,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,VIRGINIA ST / 4TH AVE,-122.340032895,47.61306259
983999,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
984005,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,18XX BLOCK OF 9TH AVE,-122.3337941,47.61522435
984008,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF 8TH AVE N,-122.341060913,47.62263512
984025,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,12XX BLOCK OF REPUBLICAN ST,-122.331076569,47.62312138
984029,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,HARRISON ST / 9TH AVE N,-122.339760246,47.62204611
984034,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,4XX BLOCK OF 9TH AVE N,-122.339755754,47.62263009
984051,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
984059,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,5XX BLOCK OF BOREN AVE N,-122.335832588,47.62387105
984115,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.337464788,47.61682219
984130,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.61788922
984231,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,21XX BLOCK OF 6TH AVE,-122.340264673,47.61554493
984297,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336606604,47.61748617
984322,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,BOREN AVE / HOWELL ST,-122.331416594,47.61617112
984363,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.346637804,47.61696696
984410,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,19XX BLOCK OF 5TH AVE,-122.338523508,47.61334267
984471,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,TERRY AVE N / JOHN ST,-122.337170453,47.61970032
984474,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
984484,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,6XX BLOCK OF WESTLAKE AVE N,-122.338430157,47.6252618
984503,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.3310702,47.62196996
984562,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
984571,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,WESTLAKE AVE / 7TH AVE,-122.337837032,47.61528336
984598,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4TH AVE / BELL ST,-122.343934408,47.61536891
984636,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,MERCER ST / DEXTER AVE N,-122.342349597,47.62454972
984738,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337790776,47.61505761
984762,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
984777,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,11XX BLOCK OF HARRISON ST,-122.335060794,47.62201555
984785,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,21XX BLOCK OF 5TH AVE,-122.341124279,47.61488028
984792,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
984850,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
984867,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
984868,2022,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
984923,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,19XX BLOCK OF TERRY AVE,-122.334227065,47.61666508
984927,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.333646875,47.62311893
984958,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,18XX BLOCK OF 9TH AVE,-122.33379412,47.61522435
984988,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,3XX BLOCK OF PONTIUS AVE N,-122.331707565,47.62139263
985102,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
985107,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,OLIVE WAY / 5TH AVE,-122.337393601,47.61266535
985111,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,8XX BLOCK OF JOHN ST,-122.34043248,47.61971258
985121,2022,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SLU/CASCADE,20XX BLOCK OF 6TH AVE,-122.338964332,47.61477578
985146,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,19XX BLOCK OF 5TH AVE,-122.338523508,47.61334267
985194,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
985204,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,8XX BLOCK OF STEWART ST,-122.334865845,47.61528449
985215,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
985229,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,12XX BLOCK OF THOMAS ST,-122.332345086,47.62081538
985276,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,3RD AVE / BELL ST,-122.344793514,47.61470458
985297,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4TH AVE / WALL ST,-122.346170622,47.61669063
985369,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,1XX BLOCK OF FAIRVIEW AVE N,-122.3342579,47.61909104
985377,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,27XX BLOCK OF 4TH AVE,-122.348506,47.61807131
985444,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,2XX BLOCK OF 5TH AVE N,-122.347606025,47.62032368
985461,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
985484,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336607,47.617486
985520,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,DENNY WAY / MINOR AVE,-122.333387671,47.61851451
985593,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF YALE AVE N,-122.3304319,47.62254749
985613,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,21XX BLOCK OF 5TH AVE,-122.341124279,47.61488028
985626,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.351483825,47.62500382
985669,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,9TH AVE / STEWART ST,-122.334436316,47.61561648
985686,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.3350548,47.62319598
985745,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,6XX BLOCK OF DEXTER AVE N,-122.342343512,47.62469407
985765,2022,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,SLU/CASCADE,5XX BLOCK OF HARRISON ST,-122.34546726,47.62206659
985831,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.613447
985858,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4XX BLOCK OF PONTIUS AVE N,-122.331714885,47.62254385
985891,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
985944,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
985968,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
986067,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF TERRY AVE N,-122.337165761,47.62028465
986122,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336607,47.617486
986199,2022,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
986205,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,MERCER ST / BOREN AVE N,-122.335825992,47.62468192
986209,2022,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
986225,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,LENORA ST / TERRY AVE,-122.336177274,47.61781815
986240,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
986241,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,12XX BLOCK OF MERCER ST,-122.332366113,47.62427037
986254,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
986255,2022,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
986262,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,3XX BLOCK OF DEXTER AVE N,-122.34237665,47.62147207
986275,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,9XX BLOCK OF STEWART ST,-122.334006702,47.6159486
986298,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,19XX BLOCK OF 3RD AVE,-122.340242172,47.61201358
986301,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338382,47.617939
986303,2022,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,3XX BLOCK OF DEXTER AVE N,-122.34237665,47.62147207
986306,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,21XX BLOCK OF 4TH AVE,-122.341983607,47.61421579
986310,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
986311,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,3XX BLOCK OF DENNY WAY,-122.349640254,47.61857911
986348,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,STEWART ST / DENNY WAY,-122.330722957,47.61849175
986349,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,STEWART ST / DENNY WAY,-122.330722957,47.61849175
986357,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.617889
986378,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
986390,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
986429,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,20XX BLOCK OF 5TH AVE,-122.339823613,47.61411132
986430,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
986451,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 7TH AVE N,-122.343653517,47.62030595
986470,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,22XX BLOCK OF 8TH AVE,-122.339845,47.617643
986477,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,3XX BLOCK OF TERRY AVE N,-122.337156287,47.62145271
986480,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,10XX BLOCK OF STEWART ST,-122.333147647,47.61661283
986487,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,BELL ST / 8TH AVE,-122.340494424,47.61802723
986492,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,CEDAR ST / 4TH AVE,-122.348039092,47.61779536
986509,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,20XX BLOCK OF 6TH AVE,-122.338964332,47.61477578
986511,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,5XX BLOCK OF BATTERY ST,-122.3439543,47.61715008
986521,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
986550,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 7TH AVE N,-122.343653517,47.62030595
986574,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,9XX BLOCK OF STEWART ST,-122.334006702,47.6159486
986585,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
986686,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,1XX BLOCK OF 5TH AVE N,-122.347615941,47.61915525
986714,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,3XX BLOCK OF LENORA ST,-122.341762926,47.61349901
986841,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,27XX BLOCK OF 4TH AVE,-122.348506,47.61807131
986843,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.3383816,47.61793927
986845,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,MERCER ST / DEXTER AVE N,-122.342353657,47.62446537
986862,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336607,47.617486
986863,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336607,47.617486
986915,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
986932,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,1XX BLOCK OF PONTIUS AVE N,-122.332259151,47.61964386
986946,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
986969,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.337464788,47.61682219
986970,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.337464788,47.61682219
986981,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
987015,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,19XX BLOCK OF 5TH AVE,-122.338523508,47.61334267
987022,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
987053,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
987058,2022,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,COURT PL / HOWELL ST,-122.329272646,47.61783563
987081,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
987096,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,BELL ST / 3RD AVE,-122.344793514,47.61470458
987114,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,10XX BLOCK OF VALLEY ST,-122.336662,47.625788
987141,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,21XX BLOCK OF 4TH AVE,-122.341983607,47.61421579
987159,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,12XX BLOCK OF MERCER ST,-122.332366113,47.62427037
987215,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,1XX BLOCK OF FAIRVIEW AVE N,-122.3342579,47.61909104
987236,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
987264,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
987317,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,12XX BLOCK OF HOWELL ST,-122.330128863,47.61717257
987319,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,HARRISON ST / 6TH AVE N,-122.345031225,47.62206474
987323,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
987328,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
987353,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
987389,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,7XX BLOCK OF DENNY WAY,-122.342887158,47.61855267
987415,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.330562151,47.6246378
987446,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
987458,2022,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
987464,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,7XX BLOCK OF JOHN ST,-122.341739116,47.61971714
987478,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,5XX BLOCK OF EASTLAKE AVE E,-122.32916,47.623703
987512,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.3350548,47.62319598
987520,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
987594,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.613447
987596,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.345741181,47.6170232
987597,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,21XX BLOCK OF 7TH AVE,-122.339404062,47.61621007
987599,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.345741181,47.6170232
987626,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,8XX BLOCK OF REPUBLICAN ST,-122.340403415,47.62321651
987661,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,22XX BLOCK OF 3RD AVE,-122.344144,47.61432
987704,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,9TH AVE N / REPUBLICAN ST,-122.339751266,47.62321406
987709,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
987736,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
987762,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF EASTLAKE AVE E,-122.329160009,47.62370283
987777,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,2XX BLOCK OF WESTLAKE AVE N,-122.33847,47.62029
987781,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,11XX BLOCK OF HARRISON ST,-122.3336337,47.62198666
987802,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,8XX BLOCK OF LENORA ST,-122.337464788,47.61682219
987837,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,3XX BLOCK OF 9TH AVE N,-122.339764556,47.62146252
987843,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
987845,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,3XX BLOCK OF 9TH AVE N,-122.339764551,47.62146252
987854,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,13XX BLOCK OF STEWART ST,-122.329773834,47.61922127
987895,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,5XX BLOCK OF EASTLAKE AVE E,-122.32916,47.623703
